"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US60010950100","Census Tract 9501, Eastern District, American Samoa","1487",
"1400000US60010950200","Census Tract 9502, Eastern District, American Samoa","1158",
"1400000US60010950300","Census Tract 9503, Eastern District, American Samoa","2415",
"1400000US60010950500","Census Tract 9505, Eastern District, American Samoa","2623",
"1400000US60010950600","Census Tract 9506, Eastern District, American Samoa","3218",
"1400000US60010950700","Census Tract 9507, Eastern District, American Samoa","2727",
"1400000US60010950900","Census Tract 9509, Eastern District, American Samoa","3431",
"1400000US60020951800","Census Tract 9518, Manu'a District, American Samoa","832",
"1400000US60030951900","Census Tract 9519, Rose Island, American Samoa","0",
"1400000US60040952000","Census Tract 9520, Swains Island, American Samoa","0",
"1400000US60050951000","Census Tract 9510, Western District, American Samoa","3593",
"1400000US60050951100","Census Tract 9511, Western District, American Samoa","6252",
"1400000US60050951201","Census Tract 9512.01, Western District, American Samoa","3406",
"1400000US60050951202","Census Tract 9512.02, Western District, American Samoa","4582",
"1400000US60050951203","Census Tract 9512.03, Western District, American Samoa","4994",
"1400000US60050951300","Census Tract 9513, Western District, American Samoa","3010",
"1400000US60050951500","Census Tract 9515, Western District, American Samoa","1689",
"1400000US60050951600","Census Tract 9516, Western District, American Samoa","4293",
