"GEO_ID","NAME","PBG63_001N",
"Geography","Geographic Area Name"," !!Median family income in 2019 (dollars)",
"1400000US60010950100","Census Tract 9501, Eastern District, American Samoa","24706",
"1400000US60010950200","Census Tract 9502, Eastern District, American Samoa","29583",
"1400000US60010950300","Census Tract 9503, Eastern District, American Samoa","36346",
"1400000US60010950500","Census Tract 9505, Eastern District, American Samoa","28250",
"1400000US60010950600","Census Tract 9506, Eastern District, American Samoa","27589",
"1400000US60010950700","Census Tract 9507, Eastern District, American Samoa","32054",
"1400000US60010950900","Census Tract 9509, Eastern District, American Samoa","31048",
"1400000US60020951800","Census Tract 9518, Manu'a District, American Samoa","30156",
"1400000US60030951900","Census Tract 9519, Rose Island, American Samoa","-",
"1400000US60040952000","Census Tract 9520, Swains Island, American Samoa","-",
"1400000US60050951000","Census Tract 9510, Western District, American Samoa","25352",
"1400000US60050951100","Census Tract 9511, Western District, American Samoa","24458",
"1400000US60050951201","Census Tract 9512.01, Western District, American Samoa","29563",
"1400000US60050951202","Census Tract 9512.02, Western District, American Samoa","32339",
"1400000US60050951203","Census Tract 9512.03, Western District, American Samoa","33009",
"1400000US60050951300","Census Tract 9513, Western District, American Samoa","30179",
"1400000US60050951500","Census Tract 9515, Western District, American Samoa","29125",
"1400000US60050951600","Census Tract 9516, Western District, American Samoa","30658",
