"GEO_ID","NAME","PBG73_001N","PBG73_002N","PBG73_003N","PBG73_004N","PBG73_005N","PBG73_006N","PBG73_007N","PBG73_008N","PBG73_009N","PBG73_010N","PBG73_011N","PBG73_012N","PBG73_013N","PBG73_014N","PBG73_015N","PBG73_016N","PBG73_017N","PBG73_018N","PBG73_019N","PBG73_020N","PBG73_021N","PBG73_022N","PBG73_023N","PBG73_024N","PBG73_025N","PBG73_026N","PBG73_027N","PBG73_028N","PBG73_029N","PBG73_030N","PBG73_031N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Income in 2019 below poverty level:"," !!Total:!!Income in 2019 below poverty level:!!Male:"," !!Total:!!Income in 2019 below poverty level:!!Male:!!Under 5 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!5 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!6 to 11 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!12 to 17 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!18 to 64 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!65 years and over"," !!Total:!!Income in 2019 below poverty level:!!Female:"," !!Total:!!Income in 2019 below poverty level:!!Female:!!Under 5 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!5 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!6 to 11 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!12 to 17 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!18 to 64 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!65 years and over"," !!Total:!!Income in 2019 at or above poverty level:"," !!Total:!!Income in 2019 at or above poverty level:!!Male:"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!Under 5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!6 to 11 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!12 to 17 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!18 to 64 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!65 years and over"," !!Total:!!Income in 2019 at or above poverty level:!!Female:"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!Under 5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!6 to 11 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!12 to 17 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!18 to 64 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!65 years and over",
"1400000US60010950100","Census Tract 9501, Eastern District, American Samoa","1485","837","426","50","12","56","68","223","17","411","43","9","68","54","214","23","648","310","24","3","21","38","196","28","338","21","3","35","40","207","32",
"1400000US60010950200","Census Tract 9502, Eastern District, American Samoa","1148","583","310","29","7","51","50","154","19","273","25","5","43","38","146","16","565","281","19","3","21","35","178","25","284","22","9","22","28","179","24",
"1400000US60010950300","Census Tract 9503, Eastern District, American Samoa","2414","1100","540","44","10","93","100","267","26","560","59","11","88","80","288","34","1314","637","49","7","80","84","366","51","677","46","6","68","84","408","65",
"1400000US60010950500","Census Tract 9505, Eastern District, American Samoa","2151","1205","615","59","16","87","113","319","21","590","46","6","79","100","332","27","946","457","41","7","43","40","288","38","489","36","5","36","63","301","48",
"1400000US60010950600","Census Tract 9506, Eastern District, American Samoa","3188","1675","822","87","15","128","110","457","25","853","84","16","111","133","471","38","1513","738","56","17","70","97","434","64","775","59","14","68","88","475","71",
"1400000US60010950700","Census Tract 9507, Eastern District, American Samoa","2612","1366","693","68","16","100","108","369","32","673","60","12","89","109","363","40","1246","640","46","4","64","80","383","63","606","35","9","50","68","387","57",
"1400000US60010950900","Census Tract 9509, Eastern District, American Samoa","3412","1807","916","101","21","122","129","503","40","891","89","26","127","115","499","35","1605","762","60","9","86","87","460","60","843","58","13","80","81","535","76",
"1400000US60020951800","Census Tract 9518, Manu'a District, American Samoa","831","503","261","25","9","45","35","135","12","242","33","4","28","29","129","19","328","173","14","3","20","18","103","15","155","16","1","18","13","95","12",
"1400000US60030951900","Census Tract 9519, Rose Island, American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
