"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US66010950100","Census Tract 9501, Guam, Guam","1347",
"1400000US66010950200","Census Tract 9502, Guam, Guam","626",
"1400000US66010950300","Census Tract 9503, Guam, Guam","629",
"1400000US66010950401","Census Tract 9504.01, Guam, Guam","5809",
"1400000US66010950402","Census Tract 9504.02, Guam, Guam","6606",
"1400000US66010950501","Census Tract 9505.01, Guam, Guam","1834",
"1400000US66010950502","Census Tract 9505.02, Guam, Guam","5343",
"1400000US66010950701","Census Tract 9507.01, Guam, Guam","5213",
"1400000US66010950702","Census Tract 9507.02, Guam, Guam","4020",
"1400000US66010950801","Census Tract 9508.01, Guam, Guam","3921",
"1400000US66010950802","Census Tract 9508.02, Guam, Guam","4110",
"1400000US66010950900","Census Tract 9509, Guam, Guam","4653",
"1400000US66010951000","Census Tract 9510, Guam, Guam","3449",
"1400000US66010951100","Census Tract 9511, Guam, Guam","6498",
"1400000US66010951600","Census Tract 9516, Guam, Guam","142",
"1400000US66010951700","Census Tract 9517, Guam, Guam","2239",
"1400000US66010951800","Census Tract 9518, Guam, Guam","99",
"1400000US66010951901","Census Tract 9519.01, Guam, Guam","4081",
"1400000US66010951902","Census Tract 9519.02, Guam, Guam","3484",
"1400000US66010952200","Census Tract 9522, Guam, Guam","3273",
"1400000US66010952300","Census Tract 9523, Guam, Guam","2829",
"1400000US66010952400","Census Tract 9524, Guam, Guam","1637",
"1400000US66010952700","Census Tract 9527, Guam, Guam","4468",
"1400000US66010952800","Census Tract 9528, Guam, Guam","null",
"1400000US66010952900","Census Tract 9529, Guam, Guam","5145",
"1400000US66010953000","Census Tract 9530, Guam, Guam","3388",
"1400000US66010953101","Census Tract 9531.01, Guam, Guam","3966",
"1400000US66010953102","Census Tract 9531.02, Guam, Guam","3098",
"1400000US66010953200","Census Tract 9532, Guam, Guam","2611",
"1400000US66010953300","Census Tract 9533, Guam, Guam","3808",
"1400000US66010953400","Census Tract 9534, Guam, Guam","943",
"1400000US66010953500","Census Tract 9535, Guam, Guam","null",
"1400000US66010953600","Census Tract 9536, Guam, Guam","3616",
"1400000US66010953900","Census Tract 9539, Guam, Guam","4192",
"1400000US66010954000","Census Tract 9540, Guam, Guam","2106",
"1400000US66010954300","Census Tract 9543, Guam, Guam","1532",
"1400000US66010954400","Census Tract 9544, Guam, Guam","53",
"1400000US66010954500","Census Tract 9545, Guam, Guam","2483",
"1400000US66010954700","Census Tract 9547, Guam, Guam","2089",
"1400000US66010954800","Census Tract 9548, Guam, Guam","2426",
"1400000US66010955100","Census Tract 9551, Guam, Guam","3550",
"1400000US66010955200","Census Tract 9552, Guam, Guam","2317",
"1400000US66010955300","Census Tract 9553, Guam, Guam","1604",
"1400000US66010955400","Census Tract 9554, Guam, Guam","647",
"1400000US66010955600","Census Tract 9556, Guam, Guam","1008",
"1400000US66010955700","Census Tract 9557, Guam, Guam","4940",
"1400000US66010955800","Census Tract 9558, Guam, Guam","7804",
"1400000US66010955900","Census Tract 9559, Guam, Guam","3185",
"1400000US66010956000","Census Tract 9560, Guam, Guam","2572",
"1400000US66010956100","Census Tract 9561, Guam, Guam","2011",
"1400000US66010956200","Census Tract 9562, Guam, Guam","3945",
"1400000US66010956300","Census Tract 9563, Guam, Guam","2385",
"1400000US66010980100","Census Tract 9801, Guam, Guam","42",
"1400000US66010980200","Census Tract 9802, Guam, Guam","0",
"1400000US66010980300","Census Tract 9803, Guam, Guam","0",
"1400000US66010980400","Census Tract 9804, Guam, Guam","0",
"1400000US66010990000","Census Tract 9900, Guam, Guam","0",
