"GEO_ID","NAME","PBG73_001N","PBG73_002N","PBG73_003N","PBG73_004N","PBG73_005N","PBG73_006N","PBG73_007N","PBG73_008N","PBG73_009N","PBG73_010N","PBG73_011N","PBG73_012N","PBG73_013N","PBG73_014N","PBG73_015N","PBG73_016N","PBG73_017N","PBG73_018N","PBG73_019N","PBG73_020N","PBG73_021N","PBG73_022N","PBG73_023N","PBG73_024N","PBG73_025N","PBG73_026N","PBG73_027N","PBG73_028N","PBG73_029N","PBG73_030N","PBG73_031N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Income in 2019 below poverty level:"," !!Total:!!Income in 2019 below poverty level:!!Male:"," !!Total:!!Income in 2019 below poverty level:!!Male:!!Under 5 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!5 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!6 to 11 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!12 to 17 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!18 to 64 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!65 years and over"," !!Total:!!Income in 2019 below poverty level:!!Female:"," !!Total:!!Income in 2019 below poverty level:!!Female:!!Under 5 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!5 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!6 to 11 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!12 to 17 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!18 to 64 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!65 years and over"," !!Total:!!Income in 2019 at or above poverty level:"," !!Total:!!Income in 2019 at or above poverty level:!!Male:"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!Under 5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!6 to 11 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!12 to 17 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!18 to 64 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!65 years and over"," !!Total:!!Income in 2019 at or above poverty level:!!Female:"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!Under 5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!6 to 11 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!12 to 17 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!18 to 64 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!65 years and over",
"1400000US66010950100","Census Tract 9501, Guam, Guam","80","23","12","0","0","1","2","9","0","11","0","0","0","1","10","0","57","31","3","0","2","2","21","3","26","0","0","5","3","14","4",
"1400000US66010950200","Census Tract 9502, Guam, Guam","102","16","9","2","0","2","2","3","0","7","1","0","1","2","2","1","86","42","5","0","3","7","23","4","44","7","1","4","5","21","6",
"1400000US66010950300","Census Tract 9503, Guam, Guam","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","0","0","0","0","5","0","1","0","0","0","0","1","0",
"1400000US66010950401","Census Tract 9504.01, Guam, Guam","5688","1153","538","73","9","81","76","255","44","615","91","17","69","65","305","68","4535","2282","128","31","185","205","1497","236","2253","128","22","164","188","1477","274",
"1400000US66010950402","Census Tract 9504.02, Guam, Guam","6579","1837","877","154","31","175","125","352","40","960","134","31","154","137","458","46","4742","2417","181","32","211","235","1562","196","2325","150","32","226","220","1512","185",
"1400000US66010950501","Census Tract 9505.01, Guam, Guam","1803","646","297","46","10","44","52","132","13","349","36","15","61","49","166","22","1157","609","45","9","60","62","393","40","548","42","11","48","55","341","51",
"1400000US66010950502","Census Tract 9505.02, Guam, Guam","5285","1035","486","47","11","70","86","237","35","549","46","10","78","76","302","37","4250","2188","135","19","146","208","1455","225","2062","110","14","157","174","1365","242",
"1400000US66010950701","Census Tract 9507.01, Guam, Guam","5187","730","311","31","5","37","39","159","40","419","40","8","38","49","227","57","4457","2222","153","29","194","189","1397","260","2235","126","33","178","200","1387","311",
"1400000US66010950702","Census Tract 9507.02, Guam, Guam","3978","1042","489","70","18","80","68","227","26","553","74","21","83","74","274","27","2936","1504","109","18","148","148","934","147","1432","93","16","133","133","920","137",
