"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US69085950100","Census Tract 9501, Northern Islands Municipality, Commonwealth of the Northern Mariana Islands","7",
"1400000US69100950100","Census Tract 9501, Rota Municipality, Commonwealth of the Northern Mariana Islands","1893",
"1400000US69100990000","Census Tract 9900, Rota Municipality, Commonwealth of the Northern Mariana Islands","0",
"1400000US69110000100","Census Tract 1, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1206",
"1400000US69110000200","Census Tract 2, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1399",
"1400000US69110000300","Census Tract 3, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1616",
"1400000US69110000400","Census Tract 4, Saipan Municipality, Commonwealth of the Northern Mariana Islands","3096",
"1400000US69110000500","Census Tract 5, Saipan Municipality, Commonwealth of the Northern Mariana Islands","2448",
"1400000US69110000600","Census Tract 6, Saipan Municipality, Commonwealth of the Northern Mariana Islands","2739",
"1400000US69110000700","Census Tract 7, Saipan Municipality, Commonwealth of the Northern Mariana Islands","3071",
"1400000US69110000800","Census Tract 8, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1840",
"1400000US69110000900","Census Tract 9, Saipan Municipality, Commonwealth of the Northern Mariana Islands","2967",
"1400000US69110001000","Census Tract 10, Saipan Municipality, Commonwealth of the Northern Mariana Islands","2566",
"1400000US69110001100","Census Tract 11, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1597",
"1400000US69110001200","Census Tract 12, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1900",
"1400000US69110001300","Census Tract 13, Saipan Municipality, Commonwealth of the Northern Mariana Islands","3236",
"1400000US69110001400","Census Tract 14, Saipan Municipality, Commonwealth of the Northern Mariana Islands","4266",
"1400000US69110001500","Census Tract 15, Saipan Municipality, Commonwealth of the Northern Mariana Islands","3306",
"1400000US69110001600","Census Tract 16, Saipan Municipality, Commonwealth of the Northern Mariana Islands","4027",
"1400000US69110001700","Census Tract 17, Saipan Municipality, Commonwealth of the Northern Mariana Islands","2105",
"1400000US69110990000","Census Tract 9900, Saipan Municipality, Commonwealth of the Northern Mariana Islands","0",
"1400000US69120950101","Census Tract 9501.01, Tinian Municipality, Commonwealth of the Northern Mariana Islands","1250",
"1400000US69120950102","Census Tract 9501.02, Tinian Municipality, Commonwealth of the Northern Mariana Islands","0",
"1400000US69120950201","Census Tract 9502.01, Tinian Municipality, Commonwealth of the Northern Mariana Islands","794",
"1400000US69120950202","Census Tract 9502.02, Tinian Municipality, Commonwealth of the Northern Mariana Islands","0",
"1400000US69120990000","Census Tract 9900, Tinian Municipality, Commonwealth of the Northern Mariana Islands","0",
