"GEO_ID","NAME","PBG63_001N",
"Geography","Geographic Area Name"," !!Median family income in 2019 (dollars)",
"1400000US69085950100","Census Tract 9501, Northern Islands Municipality, Commonwealth of the Northern Mariana Islands","-",
"1400000US69100950100","Census Tract 9501, Rota Municipality, Commonwealth of the Northern Mariana Islands","31908",
"1400000US69100990000","Census Tract 9900, Rota Municipality, Commonwealth of the Northern Mariana Islands","-",
"1400000US69110000100","Census Tract 1, Saipan Municipality, Commonwealth of the Northern Mariana Islands","42361",
"1400000US69110000200","Census Tract 2, Saipan Municipality, Commonwealth of the Northern Mariana Islands","35250",
"1400000US69110000300","Census Tract 3, Saipan Municipality, Commonwealth of the Northern Mariana Islands","51346",
"1400000US69110000400","Census Tract 4, Saipan Municipality, Commonwealth of the Northern Mariana Islands","28716",
"1400000US69110000500","Census Tract 5, Saipan Municipality, Commonwealth of the Northern Mariana Islands","33417",
"1400000US69110000600","Census Tract 6, Saipan Municipality, Commonwealth of the Northern Mariana Islands","35700",
"1400000US69110000700","Census Tract 7, Saipan Municipality, Commonwealth of the Northern Mariana Islands","29659",
"1400000US69110000800","Census Tract 8, Saipan Municipality, Commonwealth of the Northern Mariana Islands","26417",
"1400000US69110000900","Census Tract 9, Saipan Municipality, Commonwealth of the Northern Mariana Islands","26200",
"1400000US69110001000","Census Tract 10, Saipan Municipality, Commonwealth of the Northern Mariana Islands","34148",
"1400000US69110001100","Census Tract 11, Saipan Municipality, Commonwealth of the Northern Mariana Islands","28625",
"1400000US69110001200","Census Tract 12, Saipan Municipality, Commonwealth of the Northern Mariana Islands","26953",
"1400000US69110001300","Census Tract 13, Saipan Municipality, Commonwealth of the Northern Mariana Islands","28203",
"1400000US69110001400","Census Tract 14, Saipan Municipality, Commonwealth of the Northern Mariana Islands","37695",
"1400000US69110001500","Census Tract 15, Saipan Municipality, Commonwealth of the Northern Mariana Islands","39514",
"1400000US69110001600","Census Tract 16, Saipan Municipality, Commonwealth of the Northern Mariana Islands","42619",
"1400000US69110001700","Census Tract 17, Saipan Municipality, Commonwealth of the Northern Mariana Islands","59583",
"1400000US69110990000","Census Tract 9900, Saipan Municipality, Commonwealth of the Northern Mariana Islands","-",
"1400000US69120950101","Census Tract 9501.01, Tinian Municipality, Commonwealth of the Northern Mariana Islands","32500",
"1400000US69120950102","Census Tract 9501.02, Tinian Municipality, Commonwealth of the Northern Mariana Islands","-",
"1400000US69120950201","Census Tract 9502.01, Tinian Municipality, Commonwealth of the Northern Mariana Islands","41250",
"1400000US69120950202","Census Tract 9502.02, Tinian Municipality, Commonwealth of the Northern Mariana Islands","-",
"1400000US69120990000","Census Tract 9900, Tinian Municipality, Commonwealth of the Northern Mariana Islands","-",
