"GEO_ID","NAME","PBG73_001N","PBG73_002N","PBG73_003N","PBG73_004N","PBG73_005N","PBG73_006N","PBG73_007N","PBG73_008N","PBG73_009N","PBG73_010N","PBG73_011N","PBG73_012N","PBG73_013N","PBG73_014N","PBG73_015N","PBG73_016N","PBG73_017N","PBG73_018N","PBG73_019N","PBG73_020N","PBG73_021N","PBG73_022N","PBG73_023N","PBG73_024N","PBG73_025N","PBG73_026N","PBG73_027N","PBG73_028N","PBG73_029N","PBG73_030N","PBG73_031N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Income in 2019 below poverty level:"," !!Total:!!Income in 2019 below poverty level:!!Male:"," !!Total:!!Income in 2019 below poverty level:!!Male:!!Under 5 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!5 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!6 to 11 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!12 to 17 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!18 to 64 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!65 years and over"," !!Total:!!Income in 2019 below poverty level:!!Female:"," !!Total:!!Income in 2019 below poverty level:!!Female:!!Under 5 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!5 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!6 to 11 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!12 to 17 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!18 to 64 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!65 years and over"," !!Total:!!Income in 2019 at or above poverty level:"," !!Total:!!Income in 2019 at or above poverty level:!!Male:"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!Under 5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!6 to 11 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!12 to 17 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!18 to 64 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!65 years and over"," !!Total:!!Income in 2019 at or above poverty level:!!Female:"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!Under 5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!6 to 11 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!12 to 17 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!18 to 64 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!65 years and over",
"1400000US69085950100","Census Tract 9501, Northern Islands Municipality, Commonwealth of the Northern Mariana Islands","7","3","3","0","0","0","0","3","0","0","0","0","0","0","0","0","4","4","0","0","0","0","4","0","0","0","0","0","0","0","0",
"1400000US69100950100","Census Tract 9501, Rota Municipality, Commonwealth of the Northern Mariana Islands","1891","689","352","30","8","44","54","204","12","337","33","2","47","39","208","8","1202","656","44","7","59","60","428","58","546","36","7","36","51","372","44",
"1400000US69100990000","Census Tract 9900, Rota Municipality, Commonwealth of the Northern Mariana Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US69110000100","Census Tract 1, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1203","337","169","13","2","24","20","101","9","168","20","1","16","17","103","11","866","476","18","6","41","46","334","31","390","16","6","39","33","276","20",
"1400000US69110000200","Census Tract 2, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1394","631","323","31","14","36","44","180","18","308","20","7","48","39","171","23","763","391","23","5","24","40","267","32","372","25","6","26","37","247","31",
"1400000US69110000300","Census Tract 3, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1602","376","179","23","0","22","20","108","6","197","16","5","21","29","119","7","1226","646","35","9","60","50","439","53","580","35","7","41","57","400","40",
"1400000US69110000400","Census Tract 4, Saipan Municipality, Commonwealth of the Northern Mariana Islands","3087","1256","653","60","13","68","61","422","29","603","39","6","61","56","419","22","1831","1026","36","7","61","61","798","63","805","30","10","49","63","608","45",
"1400000US69110000500","Census Tract 5, Saipan Municipality, Commonwealth of the Northern Mariana Islands","2440","895","443","45","5","55","76","240","22","452","31","10","55","67","261","28","1545","846","36","8","65","104","572","61","699","32","8","52","65","489","53",
"1400000US69110000600","Census Tract 6, Saipan Municipality, Commonwealth of the Northern Mariana Islands","2728","1010","545","41","6","59","69","359","11","465","44","8","57","67","262","27","1718","901","51","12","59","94","624","61","817","35","11","77","53","592","49",
"1400000US69110000700","Census Tract 7, Saipan Municipality, Commonwealth of the Northern Mariana Islands","3066","1287","716","52","10","69","61","493","31","571","62","15","82","60","330","22","1779","932","55","14","70","95","646","52","847","50","13","54","89","590","51",
"1400000US69110000800","Census Tract 8, Saipan Municipality, Commonwealth of the Northern Mariana Islands","1657","732","350","43","7","49","34","208","9","382","34","10","57","42","225","14","925","523","16","5","36","50","382","34","402","13","3","23","41","293","29",
"1400000US69110000900","Census Tract 9, Saipan Municipality, Commonwealth of the Northern Mariana Islands","2957","1430","732","44","16","119","106","425","22","698","61","17","89","90","409","32","1527","852","37","6","57","83","624","45","675","22","3","57","63","476","54",
