"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US78010970100","Census Tract 9701, St. Croix Island, United States Virgin Islands","1832",
"1400000US78010970200","Census Tract 9702, St. Croix Island, United States Virgin Islands","2446",
"1400000US78010970300","Census Tract 9703, St. Croix Island, United States Virgin Islands","3025",
"1400000US78010970400","Census Tract 9704, St. Croix Island, United States Virgin Islands","3983",
"1400000US78010970500","Census Tract 9705, St. Croix Island, United States Virgin Islands","4814",
"1400000US78010970600","Census Tract 9706, St. Croix Island, United States Virgin Islands","2074",
"1400000US78010970700","Census Tract 9707, St. Croix Island, United States Virgin Islands","1909",
"1400000US78010970800","Census Tract 9708, St. Croix Island, United States Virgin Islands","3157",
"1400000US78010970900","Census Tract 9709, St. Croix Island, United States Virgin Islands","914",
"1400000US78010971000","Census Tract 9710, St. Croix Island, United States Virgin Islands","2041",
"1400000US78010971100","Census Tract 9711, St. Croix Island, United States Virgin Islands","3079",
"1400000US78010971200","Census Tract 9712, St. Croix Island, United States Virgin Islands","3372",
"1400000US78010971300","Census Tract 9713, St. Croix Island, United States Virgin Islands","2678",
"1400000US78010971400","Census Tract 9714, St. Croix Island, United States Virgin Islands","2550",
"1400000US78010971500","Census Tract 9715, St. Croix Island, United States Virgin Islands","3130",
"1400000US78010990000","Census Tract 9900, St. Croix Island, United States Virgin Islands","0",
"1400000US78020950100","Census Tract 9501, St. John Island, United States Virgin Islands","1233",
"1400000US78020950200","Census Tract 9502, St. John Island, United States Virgin Islands","2648",
"1400000US78020990000","Census Tract 9900, St. John Island, United States Virgin Islands","0",
"1400000US78030960100","Census Tract 9601, St. Thomas Island, United States Virgin Islands","3329",
"1400000US78030960200","Census Tract 9602, St. Thomas Island, United States Virgin Islands","3762",
"1400000US78030960300","Census Tract 9603, St. Thomas Island, United States Virgin Islands","3117",
"1400000US78030960400","Census Tract 9604, St. Thomas Island, United States Virgin Islands","3872",
"1400000US78030960500","Census Tract 9605, St. Thomas Island, United States Virgin Islands","5001",
"1400000US78030960600","Census Tract 9606, St. Thomas Island, United States Virgin Islands","3114",
"1400000US78030960700","Census Tract 9607, St. Thomas Island, United States Virgin Islands","2900",
"1400000US78030960800","Census Tract 9608, St. Thomas Island, United States Virgin Islands","3161",
"1400000US78030960900","Census Tract 9609, St. Thomas Island, United States Virgin Islands","3721",
"1400000US78030961000","Census Tract 9610, St. Thomas Island, United States Virgin Islands","4386",
"1400000US78030961100","Census Tract 9611, St. Thomas Island, United States Virgin Islands","3780",
"1400000US78030961200","Census Tract 9612, St. Thomas Island, United States Virgin Islands","2118",
"1400000US78030990000","Census Tract 9900, St. Thomas Island, United States Virgin Islands","0",
"1400000US78010970100","Census Tract 9701, St. Croix Island, United States Virgin Islands","1832",
"1400000US78010970200","Census Tract 9702, St. Croix Island, United States Virgin Islands","2446",
"1400000US78010970300","Census Tract 9703, St. Croix Island, United States Virgin Islands","3025",
"1400000US78010970400","Census Tract 9704, St. Croix Island, United States Virgin Islands","3983",
"1400000US78010970500","Census Tract 9705, St. Croix Island, United States Virgin Islands","4814",
"1400000US78010970600","Census Tract 9706, St. Croix Island, United States Virgin Islands","2074",
"1400000US78010970700","Census Tract 9707, St. Croix Island, United States Virgin Islands","1909",
"1400000US78010970800","Census Tract 9708, St. Croix Island, United States Virgin Islands","3157",
"1400000US78010970900","Census Tract 9709, St. Croix Island, United States Virgin Islands","914",
"1400000US78010971000","Census Tract 9710, St. Croix Island, United States Virgin Islands","2041",
"1400000US78010971100","Census Tract 9711, St. Croix Island, United States Virgin Islands","3079",
"1400000US78010971200","Census Tract 9712, St. Croix Island, United States Virgin Islands","3372",
"1400000US78010971300","Census Tract 9713, St. Croix Island, United States Virgin Islands","2678",
"1400000US78010971400","Census Tract 9714, St. Croix Island, United States Virgin Islands","2550",
"1400000US78010971500","Census Tract 9715, St. Croix Island, United States Virgin Islands","3130",
"1400000US78010990000","Census Tract 9900, St. Croix Island, United States Virgin Islands","0",
"1400000US78020950100","Census Tract 9501, St. John Island, United States Virgin Islands","1233",
"1400000US78020950200","Census Tract 9502, St. John Island, United States Virgin Islands","2648",
"1400000US78020990000","Census Tract 9900, St. John Island, United States Virgin Islands","0",
"1400000US78030960100","Census Tract 9601, St. Thomas Island, United States Virgin Islands","3329",
"1400000US78030960200","Census Tract 9602, St. Thomas Island, United States Virgin Islands","3762",
"1400000US78030960300","Census Tract 9603, St. Thomas Island, United States Virgin Islands","3117",
"1400000US78030960400","Census Tract 9604, St. Thomas Island, United States Virgin Islands","3872",
"1400000US78030960500","Census Tract 9605, St. Thomas Island, United States Virgin Islands","5001",
"1400000US78030960600","Census Tract 9606, St. Thomas Island, United States Virgin Islands","3114",
"1400000US78030960700","Census Tract 9607, St. Thomas Island, United States Virgin Islands","2900",
"1400000US78030960800","Census Tract 9608, St. Thomas Island, United States Virgin Islands","3161",
"1400000US78030960900","Census Tract 9609, St. Thomas Island, United States Virgin Islands","3721",
"1400000US78030961000","Census Tract 9610, St. Thomas Island, United States Virgin Islands","4386",
"1400000US78030961100","Census Tract 9611, St. Thomas Island, United States Virgin Islands","3780",
"1400000US78030961200","Census Tract 9612, St. Thomas Island, United States Virgin Islands","2118",
"1400000US78030990000","Census Tract 9900, St. Thomas Island, United States Virgin Islands","0",
