"GEO_ID","NAME","PBG63_001N",
"Geography","Geographic Area Name"," !!Median family income in 2019 (dollars)",
"1400000US78010970100","Census Tract 9701, St. Croix Island, United States Virgin Islands","91750",
"1400000US78010970200","Census Tract 9702, St. Croix Island, United States Virgin Islands","38750",
"1400000US78010970300","Census Tract 9703, St. Croix Island, United States Virgin Islands","39464",
"1400000US78010970400","Census Tract 9704, St. Croix Island, United States Virgin Islands","67361",
"1400000US78010970500","Census Tract 9705, St. Croix Island, United States Virgin Islands","54886",
"1400000US78010970600","Census Tract 9706, St. Croix Island, United States Virgin Islands","83250",
"1400000US78010970700","Census Tract 9707, St. Croix Island, United States Virgin Islands","56250",
"1400000US78010970800","Census Tract 9708, St. Croix Island, United States Virgin Islands","35172",
"1400000US78010970900","Census Tract 9709, St. Croix Island, United States Virgin Islands","36875",
"1400000US78010971000","Census Tract 9710, St. Croix Island, United States Virgin Islands","43472",
"1400000US78010971100","Census Tract 9711, St. Croix Island, United States Virgin Islands","30648",
"1400000US78010971200","Census Tract 9712, St. Croix Island, United States Virgin Islands","51295",
"1400000US78010971300","Census Tract 9713, St. Croix Island, United States Virgin Islands","46513",
"1400000US78010971400","Census Tract 9714, St. Croix Island, United States Virgin Islands","36250",
"1400000US78010971500","Census Tract 9715, St. Croix Island, United States Virgin Islands","55375",
"1400000US78010990000","Census Tract 9900, St. Croix Island, United States Virgin Islands","-",
"1400000US78020950100","Census Tract 9501, St. John Island, United States Virgin Islands","62813",
"1400000US78020950200","Census Tract 9502, St. John Island, United States Virgin Islands","61307",
"1400000US78020990000","Census Tract 9900, St. John Island, United States Virgin Islands","-",
"1400000US78030960100","Census Tract 9601, St. Thomas Island, United States Virgin Islands","51473",
"1400000US78030960200","Census Tract 9602, St. Thomas Island, United States Virgin Islands","49318",
"1400000US78030960300","Census Tract 9603, St. Thomas Island, United States Virgin Islands","57000",
"1400000US78030960400","Census Tract 9604, St. Thomas Island, United States Virgin Islands","70278",
"1400000US78030960500","Census Tract 9605, St. Thomas Island, United States Virgin Islands","88603",
"1400000US78030960600","Census Tract 9606, St. Thomas Island, United States Virgin Islands","50096",
"1400000US78030960700","Census Tract 9607, St. Thomas Island, United States Virgin Islands","60958",
"1400000US78030960800","Census Tract 9608, St. Thomas Island, United States Virgin Islands","52125",
"1400000US78030960900","Census Tract 9609, St. Thomas Island, United States Virgin Islands","51797",
"1400000US78030961000","Census Tract 9610, St. Thomas Island, United States Virgin Islands","38125",
"1400000US78030961100","Census Tract 9611, St. Thomas Island, United States Virgin Islands","38158",
"1400000US78030961200","Census Tract 9612, St. Thomas Island, United States Virgin Islands","36188",
"1400000US78030990000","Census Tract 9900, St. Thomas Island, United States Virgin Islands","-",
"1400000US78010970100","Census Tract 9701, St. Croix Island, United States Virgin Islands","91750",
"1400000US78010970200","Census Tract 9702, St. Croix Island, United States Virgin Islands","38750",
"1400000US78010970300","Census Tract 9703, St. Croix Island, United States Virgin Islands","39464",
"1400000US78010970400","Census Tract 9704, St. Croix Island, United States Virgin Islands","67361",
"1400000US78010970500","Census Tract 9705, St. Croix Island, United States Virgin Islands","54886",
"1400000US78010970600","Census Tract 9706, St. Croix Island, United States Virgin Islands","83250",
"1400000US78010970700","Census Tract 9707, St. Croix Island, United States Virgin Islands","56250",
"1400000US78010970800","Census Tract 9708, St. Croix Island, United States Virgin Islands","35172",
"1400000US78010970900","Census Tract 9709, St. Croix Island, United States Virgin Islands","36875",
"1400000US78010971000","Census Tract 9710, St. Croix Island, United States Virgin Islands","43472",
"1400000US78010971100","Census Tract 9711, St. Croix Island, United States Virgin Islands","30648",
"1400000US78010971200","Census Tract 9712, St. Croix Island, United States Virgin Islands","51295",
"1400000US78010971300","Census Tract 9713, St. Croix Island, United States Virgin Islands","46513",
"1400000US78010971400","Census Tract 9714, St. Croix Island, United States Virgin Islands","36250",
"1400000US78010971500","Census Tract 9715, St. Croix Island, United States Virgin Islands","55375",
"1400000US78010990000","Census Tract 9900, St. Croix Island, United States Virgin Islands","-",
"1400000US78020950100","Census Tract 9501, St. John Island, United States Virgin Islands","62813",
"1400000US78020950200","Census Tract 9502, St. John Island, United States Virgin Islands","61307",
"1400000US78020990000","Census Tract 9900, St. John Island, United States Virgin Islands","-",
"1400000US78030960100","Census Tract 9601, St. Thomas Island, United States Virgin Islands","51473",
"1400000US78030960200","Census Tract 9602, St. Thomas Island, United States Virgin Islands","49318",
"1400000US78030960300","Census Tract 9603, St. Thomas Island, United States Virgin Islands","57000",
"1400000US78030960400","Census Tract 9604, St. Thomas Island, United States Virgin Islands","70278",
"1400000US78030960500","Census Tract 9605, St. Thomas Island, United States Virgin Islands","88603",
"1400000US78030960600","Census Tract 9606, St. Thomas Island, United States Virgin Islands","50096",
"1400000US78030960700","Census Tract 9607, St. Thomas Island, United States Virgin Islands","60958",
"1400000US78030960800","Census Tract 9608, St. Thomas Island, United States Virgin Islands","52125",
"1400000US78030960900","Census Tract 9609, St. Thomas Island, United States Virgin Islands","51797",
"1400000US78030961000","Census Tract 9610, St. Thomas Island, United States Virgin Islands","38125",
"1400000US78030961100","Census Tract 9611, St. Thomas Island, United States Virgin Islands","38158",
"1400000US78030961200","Census Tract 9612, St. Thomas Island, United States Virgin Islands","36188",
"1400000US78030990000","Census Tract 9900, St. Thomas Island, United States Virgin Islands","-",
