"","GEOID_tract","GEOID_msa"
"1","06077003406","44700"
"2","06077004402","44700"
"3","06077004600","44700"
"4","06077001400","44700"
"5","06077003106","44700"
"6","06077001700","44700"
"7","06077000401","44700"
"8","06077003404","44700"
"9","37037020600","20500"
"10","02020001731","11260"
"11","02020002822","11260"
"12","02170000300","11260"
"13","12031013200","27260"
"14","12031011600","27260"
"15","12031012000","27260"
"16","12031014500","27260"
"17","29047021103","28140"
"18","29047021204","28140"
"19","29165030002","28140"
"20","15003002003","46520"
"21","15003011105","46520"
"22","15003010601","46520"
"23","15003010903","46520"
"24","15003004900","46520"
"25","15003001400","46520"
"26","13101880100","46660"
"27","13185011100","46660"
"28","20209040900","28140"
"29","20209041600","28140"
"30","20209042800","28140"
"31","20209045100","28140"
"32","20103070300","28140"
"33","22033004201","12940"
"34","22033002300","12940"
"35","22033001104","12940"
"36","26125161200","19820"
"37","26125161400","19820"
"38","26125196200","19820"
"39","26125122700","19820"
"40","26125145300","19820"
"41","26125168800","19820"
"42","26125170300","19820"
"43","26125150400","19820"
"44","26125150800","19820"
"45","26125134300","19820"
"46","26125173000","19820"
"47","26125188100","19820"
"48","26125193500","19820"
"49","26125167900","19820"
"50","26125141300","19820"
"51","26125191100","19820"
"52","26125193100","19820"
"53","26125183900","19820"
"54","26163583200","19820"
"55","26163562400","19820"
"56","26163541500","19820"
"57","26163507400","19820"
"58","26163584400","19820"
"59","26163564300","19820"
"60","26163556900","19820"
"61","26163539200","19820"
"62","26163506900","19820"
"63","26163583400","19820"
"64","26163572000","19820"
"65","26163569500","19820"
"66","26163555600","19820"
"67","26163504300","19820"
"68","26163574600","19820"
"69","26163572100","19820"
"70","26163584300","19820"
"71","26163535100","19820"
"72","26163500900","19820"
"73","26163595000","19820"
"74","26163577100","19820"
"75","26163531700","19820"
"76","26163566400","19820"
"77","26163531400","19820"
"78","26163554600","19820"
"79","26163552300","19820"
"80","26163525700","19820"
"81","26163546700","19820"
"82","26163546100","19820"
"83","26163545200","19820"
"84","26163517500","19820"
"85","26163557700","19820"
"86","26163542100","19820"
"87","26099226400","19820"
"88","26099261700","19820"
"89","26099240300","19820"
"90","26099241400","19820"
"91","26099258900","19820"
"92","26099255400","19820"
"93","26099256500","19820"
"94","26099250500","19820"
"95","26099225701","19820"
"96","26099230300","19820"
