"","GEOID","r_stat"
"1","01125011800","Neither"
"2","01117030219","Neither"
"3","01117030611","Neither"
"4","01117030613","Neither"
"5","01117030614","Neither"
"6","01117030610","Neither"
"7","01117030616","Neither"
"8","01117030503","Neither"
"9","01117030615","Neither"
"10","01125012304","Neither"
"11","01125012404","Neither"
"12","01125011703","Neither"
"13","01125012503","Neither"
"14","01051030901","Neither"
"15","01117030348","Neither"
"16","01117030349","Neither"
"17","01117030221","Neither"
"18","01117030220","Neither"
"19","01117030350","Neither"
"20","01117030612","Neither"
"21","01117030218","Neither"
"22","01117030351","Neither"
"23","01117030352","Neither"
"24","01097006104","Neither"
"25","01097005500","Neither"
"26","01097007101","Neither"
"27","01097002000","Neither"
"28","01097001200","Neither"
"29","01097006102","Neither"
"30","01097003800","Neither"
"31","01097007103","Neither"
"32","01117030504","Neither"
"33","01117980100","Neither"
"34","01113030800","Neither"
"35","01113030500","Neither"
"36","01073011109","Neither"
"37","01073014002","Neither"
"38","01073011002","Neither"
"39","01073012704","Neither"
"40","01073011110","Neither"
"41","01125010102","Neither"
"42","01125010500","Neither"
"43","01125010406","Neither"
"44","01125010703","Neither"
"45","01125010101","Neither"
"46","01125010204","Neither"
"47","01125010405","Neither"
"48","01125010201","Neither"
"49","01125012305","Neither"
"50","01125012501","Neither"
"51","01125010802","Neither"
"52","01125012403","Neither"
"53","01125010803","Neither"
"54","01125010203","Neither"
"55","01125010302","Neither"
"56","01125010601","Neither"
"57","01125010804","Neither"
"58","01073014209","Neither"
"59","01073014208","Neither"
"60","01073014206","Neither"
"61","01073014205","Neither"
"62","01073014207","Neither"
"63","01073014303","Neither"
"64","01073011115","Neither"
"65","01073011114","Neither"
"66","01073011709","Neither"
"67","01073014304","Neither"
"68","01073014415","Neither"
"69","01073011116","Neither"
"70","01073011117","Neither"
"71","01073012804","Neither"
"72","01073010806","Neither"
"73","01101005608","Neither"
"74","01101005503","Neither"
"75","01101005501","Neither"
"76","01101005502","Neither"
"77","01101005612","Neither"
"78","01101005610","Neither"
"79","01073011301","Neither"
"80","01073012703","Neither"
"81","01103005703","Neither"
"82","01073012805","Neither"
"83","01079979501","Neither"
"84","01115040110","Neither"
"85","01115040108","Neither"
"86","01115040107","Neither"
"87","01115040506","Neither"
"88","01115040504","Neither"
"89","01073011708","Neither"
"90","01073010807","Neither"
"91","01073011003","Neither"
"92","01073011004","Neither"
"93","01073012004","Neither"
"94","01073011710","Neither"
"95","01073012307","Neither"
"96","01001020200","Neither"
"97","01001020600","Neither"
"98","01001020100","Neither"
"99","01001020700","Neither"
"100","01001020400","Neither"
"101","01045021400","Neither"
"102","01081042003","Neither"
"103","01081040901","Neither"
"104","01113030903","Neither"
"105","01113030907","Neither"
"106","01113030602","Neither"
"107","01113030404","Neither"
"108","01113030906","Neither"
"109","01113030601","Neither"
"110","01117030337","Neither"
"111","01073010001","Neither"
"112","01073010002","Neither"
"113","01073010301","Neither"
"114","01073010302","Neither"
"115","01097004900","Neither"
"116","01097005000","Neither"
"117","01097001800","Neither"
"118","01097005200","Neither"
"119","01097006403","Neither"
"120","01097001901","Neither"
"121","01097001902","Neither"
"122","01103005109","Neither"
"123","01073011206","Neither"
"124","01073011704","Neither"
"125","01073012001","Neither"
"126","01073011208","Neither"
"127","01103005106","Neither"
"128","01073012200","Neither"
"129","01073012500","Neither"
"130","01073013100","Neither"
"131","01073012401","Neither"
"132","01073012402","Neither"
"133","01117030336","Neither"
"134","01103005305","Neither"
"135","01103005306","Neither"
"136","01103000200","Neither"
"137","01103005101","Neither"
"138","01103005105","Neither"
"139","01097006704","Neither"
"140","01097005702","Neither"
"141","01097006305","Neither"
"142","01097005601","Neither"
"143","01097005701","Neither"
"144","01097005602","Neither"
"145","01097006505","Neither"
"146","01097006107","Neither"
"147","01097006306","Neither"
"148","01097006412","Neither"
"149","01097006413","Neither"
"150","01097006703","Neither"
"151","01097006304","Neither"
"152","01097003410","Neither"
"153","01097006106","Neither"
"154","01101005904","Neither"
"155","01101005411","Neither"
"156","01073012304","Neither"
"157","01001020501","Neither"
"158","01001020803","Neither"
