"","GEOID","r_stat"
"1","01069040802","Neither"
"2","01069040205","Neither"
"3","01069040203","Neither"
"4","01069040801","Neither"
"5","01069041901","Neither"
"6","01069040206","Neither"
"7","01125010706","Neither"
"8","01125010704","Neither"
"9","01125010705","Neither"
"10","01125010104","Neither"
"11","01125012504","Neither"
"12","01125010305","Neither"
"13","01125010707","Neither"
"14","01125010206","Neither"
"15","01125012505","Neither"
"16","01125010105","Neither"
"17","01125010304","Neither"
"18","01125010205","Neither"
"19","01089001902","Neither"
"20","01089010200","Neither"
"21","01089001901","Neither"
"22","01089000403","Neither"
"23","01089010502","Neither"
"24","01089000901","Neither"
"25","01089010704","Neither"
"26","01089010503","Neither"
"27","01089010102","Neither"
"28","01089010631","Neither"
"29","01089010904","Neither"
"30","01089002804","Neither"
"31","01089002924","Neither"
"32","01089010101","Neither"
"33","01089010405","Neither"
"34","01089010802","Neither"
"35","01089010905","Neither"
"36","01089000203","Neither"
"37","01089010903","Neither"
"38","01089010628","Neither"
"39","01089010703","Neither"
"40","01089011302","Neither"
"41","01089010706","Neither"
"42","01089002803","Neither"
"43","01089011202","Neither"
"44","01089011203","Neither"
"45","01089010504","Neither"
"46","01069041500","Neither"
"47","01069042100","Neither"
"48","01095030302","Neither"
"49","01089002722","Neither"
"50","01097006501","Neither"
"51","01097006702","Neither"
"52","01097006407","Neither"
"53","01097007201","Neither"
"54","01103005305","Neither"
"55","01103005306","Neither"
"56","01103000200","Neither"
"57","01103005101","Neither"
"58","01103005105","Neither"
"59","01097006704","Neither"
"60","01097005702","Neither"
"61","01097006305","Neither"
"62","01097005601","Neither"
"63","01097005701","Neither"
"64","01097005602","Neither"
"65","01097006505","Neither"
"66","01097006107","Neither"
"67","01097006306","Neither"
"68","01097006413","Neither"
"69","01097006703","Neither"
"70","01097006304","Neither"
"71","01097003410","Neither"
"72","01097006106","Neither"
"73","01103005302","Neither"
"74","01103000100","Neither"
"75","01103005103","Neither"
"76","01103005404","Neither"
"77","01101005902","Neither"
"78","01003010710","Neither"
"79","01003010707","Neither"
"80","01003011418","Neither"
"81","01003011604","Neither"
"82","01003011415","Neither"
"83","01101005414","Neither"
"84","01101005413","Neither"
"85","01101005613","Neither"
"86","01051031001","Neither"
"87","01051031002","Neither"
"88","01127021600","Neither"
"89","01083021101","Neither"
"90","01083021203","Neither"
"91","01083021202","Neither"
"92","01083020803","Neither"
"93","01083020804","Neither"
"94","01083020806","Neither"
"95","01083020805","Neither"
"96","01083021201","Neither"
"97","01067030500","Neither"
"98","01003011603","Neither"
"99","01003011417","Neither"
"100","01003011414","Neither"
"101","01017954001","Neither"
"102","01097006503","Neither"
"103","01097006303","Neither"
"104","01097006307","Neither"
"105","01097003409","Neither"
"106","01089011028","Neither"
"107","01089011201","Neither"
"108","01089010801","Neither"
"109","01089011301","Neither"
"110","01089010406","Neither"
"111","01101005904","Neither"
"112","01101005411","Neither"
"113","01073012304","Neither"
"114","01001020803","Neither"
"115","01001020804","Neither"
"116","01001020805","Neither"
"117","01079979100","Neither"
"118","01089010705","Neither"
"119","01073014209","Neither"
"120","01073014208","Neither"
"121","01073014206","Neither"
"122","01073014205","Neither"
"123","01073014207","Neither"
"124","01073014303","Neither"
"125","01073011115","Neither"
"126","01073011114","Neither"
"127","01073011709","Neither"
"128","01073014304","Neither"
"129","01073014415","Neither"
"130","01073011116","Neither"
"131","01073011117","Neither"
"132","01073012804","Neither"
"133","01101005608","Neither"
"134","01101005503","Neither"
"135","01101005501","Neither"
"136","01101005502","Neither"
"137","01101005612","Neither"
"138","01101005610","Neither"
"139","01073011301","Neither"
"140","01073012703","Neither"
"141","01103005703","Neither"
"142","01073012805","Neither"
"143","01079979501","Neither"
"144","01115040110","Neither"
"145","01115040108","Neither"
"146","01115040107","Neither"
"147","01115040506","Neither"
